id do produto,tipo do produto,produto,valor de venda,valor de compra,status de entrega,loja que comprou,data da venda,quantidade comprada,moeda usada,cidade do envio,estado do envio,pais do envio,latitude,longitude,tipo de envio,canal de venda,preço distribuidora,preço loja 1,preço loja 2
1,ferramentas,serra elétrica,703.29,604.89,pendente,Loja B,2024-03-03,62,EUR,Rio de Janeiro,RJ,Brasil,-22.9068,-43.1729,transportadora própria,empresarial,703.29,730.23,762.23
2,roupa,calça,312.74,276.47,enviado,Loja C,2024-05-27,32,EUR,Curitiba,PR,Brasil,-25.4284,-49.2733,transportadora própria,loja,312.74,335.74,321.31
3,cozinha,batedeira,27.29,24.31,pendente,Loja C,2024-01-09,70,BRL,São Paulo,SP,Brasil,-23.5505,-46.6333,padrão,empresarial,27.29,27.66,29.49
4,ferramentas,serra elétrica,704.72,694.54,cancelado,Loja B,2024-06-08,57,USD,Curitiba,PR,Brasil,-25.4284,-49.2733,transportadora própria,online,704.72,742.37,768.15
5,eletronico,notebook,246.18,233.98,pendente,Loja A,2024-05-15,21,USD,Rio de Janeiro,RJ,Brasil,-22.9068,-43.1729,expressa,loja,246.18,268.55,258.42
6,ferramentas,serra elétrica,126.24,121.34,pendente,Loja C,2024-12-09,86,EUR,Rio de Janeiro,RJ,Brasil,-22.9068,-43.1729,expressa,loja,126.24,130.63,130.65
7,ferramentas,martelo,1078.5,905.66,pendente,Loja A,2024-11-25,11,BRL,Rio de Janeiro,RJ,Brasil,-22.9068,-43.1729,padrão,empresarial,1078.5,1147.15,1123.24
8,ferramentas,chave de fenda,441.12,431.49,pendente,Loja B,2024-09-19,8,USD,São Paulo,SP,Brasil,-23.5505,-46.6333,expressa,empresarial,441.12,463.26,456.12
9,eletronico,smartphone,600.09,538.91,pendente,Loja C,2024-04-06,90,EUR,São Paulo,SP,Brasil,-23.5505,-46.6333,transportadora própria,online,600.09,608.49,655.74
10,ferramentas,chave de fenda,559.26,530.61,pendente,Loja C,2024-03-28,81,USD,Curitiba,PR,Brasil,-25.4284,-49.2733,padrão,empresarial,559.26,572.09,572.26
11,eletronico,tablet,830.27,785.37,cancelado,Loja C,2024-04-08,28,USD,Rio de Janeiro,RJ,Brasil,-22.9068,-43.1729,padrão,empresarial,830.27,880.86,859.46
12,roupa,calça,982.72,857.82,pendente,Loja C,2024-06-08,3,USD,Rio de Janeiro,RJ,Brasil,-22.9068,-43.1729,padrão,empresarial,982.72,998.77,1011.67
13,roupa,camiseta,981.19,967.48,cancelado,Loja B,2024-02-18,28,EUR,São Paulo,SP,Brasil,-23.5505,-46.6333,expressa,loja,981.19,1026.6,997.48
14,casa,cadeira,721.32,619.63,enviado,Loja B,2024-07-05,73,EUR,São Paulo,SP,Brasil,-23.5505,-46.6333,transportadora própria,loja,721.32,743.89,783.69
15,roupa,camiseta,91.85,81.52,cancelado,Loja B,2024-04-26,15,EUR,São Paulo,SP,Brasil,-23.5505,-46.6333,transportadora própria,empresarial,91.85,99.75,94.49
16,cozinha,batedeira,343.73,334.9,cancelado,Loja B,2024-07-22,35,BRL,Rio de Janeiro,RJ,Brasil,-22.9068,-43.1729,transportadora própria,online,343.73,356.52,352.77
17,eletronico,smartphone,754.52,653.78,pendente,Loja A,2024-03-10,14,EUR,Curitiba,PR,Brasil,-25.4284,-49.2733,transportadora própria,loja,754.52,818.71,794.58
18,ferramentas,serra elétrica,529.03,499.51,enviado,Loja C,2024-07-04,49,BRL,Curitiba,PR,Brasil,-25.4284,-49.2733,padrão,online,529.03,569.48,537.34
19,roupa,meias,961.99,846.16,cancelado,Loja B,2024-01-28,57,USD,Curitiba,PR,Brasil,-25.4284,-49.2733,transportadora própria,empresarial,961.99,1043.43,1030.8
