id do produto,tipo do produto,produto,valor de venda,valor de compra,status de entrega,loja que comprou,data da venda,quantidade comprada,moeda usada,cidade do envio,estado do envio,pais do envio,latitude,longitude,tipo de envio,canal de venda,preço distribuidora,preço loja 1,preço loja 2
1,casa,cama,351.17,347.07,pendente,Loja C,2024-12-15,84,EUR,Paris,IL,França,48.8566,2.3522,expressa,loja,351.17,384.54,383.34
2,cozinha,liquidificador,930.43,897.48,enviado,Loja B,2024-07-10,18,EUR,Berlim,BE,Alemanha,52.52,13.405,padrão,loja,930.43,953.84,1010.24
3,casa,mesa,555.75,513.9,pendente,Loja B,2024-08-15,98,USD,Nova York,NY,EUA,40.7128,-74.006,transportadora própria,loja,555.75,610.9,585.89
4,eletronico,televisão,421.67,395.61,pendente,Loja C,2024-05-02,14,EUR,Berlim,BE,Alemanha,52.52,13.405,transportadora própria,empresarial,421.67,446.04,438.84
5,ferramentas,furadeira,97.8,83.74,cancelado,Loja C,2024-01-05,56,BRL,São Paulo,SP,Brasil,-23.5505,-46.6333,padrão,loja,97.8,103.08,105.32
6,ferramentas,furadeira,1002.68,885.94,cancelado,Loja C,2024-06-22,83,BRL,Curitiba,PR,Brasil,-25.4284,-49.2733,transportadora própria,empresarial,1002.68,1082.52,1027.97
7,casa,mesa,162.3,153.42,cancelado,Loja B,2024-08-14,50,BRL,Curitiba,PR,Brasil,-25.4284,-49.2733,expressa,empresarial,162.3,174.04,175.19
8,eletronico,televisão,540.39,465.11,pendente,Loja C,2024-03-20,55,USD,Nova York,NY,EUA,40.7128,-74.006,transportadora própria,loja,540.39,578.75,583.15
9,ferramentas,chave de fenda,27.79,24.32,enviado,Loja C,2024-02-02,48,BRL,Rio de Janeiro,RJ,Brasil,-22.9068,-43.1729,expressa,empresarial,27.79,28.82,29.69
10,casa,cadeira,1065.62,931.8,cancelado,Loja B,2024-12-06,73,USD,Nova York,NY,EUA,40.7128,-74.006,expressa,empresarial,1065.62,1101.15,1105.11
11,cozinha,geladeira,153.23,142.44,cancelado,Loja A,2024-07-20,91,USD,Nova York,NY,EUA,40.7128,-74.006,expressa,loja,153.23,156.1,161.67
12,roupa,camiseta,704.56,637.74,enviado,Loja C,2024-03-17,97,USD,Nova York,NY,EUA,40.7128,-74.006,padrão,loja,704.56,716.68,728.11
13,cozinha,geladeira,485.26,407.79,pendente,Loja B,2024-09-05,49,BRL,Rio de Janeiro,RJ,Brasil,-22.9068,-43.1729,transportadora própria,loja,485.26,513.27,499.71
14,casa,sofá,287.28,264.01,pendente,Loja C,2024-10-12,60,BRL,São Paulo,SP,Brasil,-23.5505,-46.6333,transportadora própria,loja,287.28,303.61,305.79
15,roupa,meias,12.08,10.18,pendente,Loja A,2024-08-23,8,USD,Los Angeles,CA,EUA,34.0522,-118.2437,transportadora própria,empresarial,12.08,12.45,12.29
16,eletronico,smartphone,691.54,640.34,cancelado,Loja C,2024-04-09,29,EUR,Berlim,BE,Alemanha,52.52,13.405,transportadora própria,online,691.54,699.46,716.96
17,roupa,calça,1019.07,906.43,enviado,Loja B,2024-08-27,95,USD,Los Angeles,CA,EUA,34.0522,-118.2437,transportadora própria,loja,1019.07,1092.33,1057.08
18,casa,sofá,211.34,184.35,pendente,Loja A,2024-07-18,94,EUR,Berlim,BE,Alemanha,52.52,13.405,transportadora própria,loja,211.34,229.97,229.71
19,eletronico,televisão,818.78,732.77,cancelado,Loja C,2024-01-23,48,BRL,Rio de Janeiro,RJ,Brasil,-22.9068,-43.1729,padrão,loja,818.78,869.81,888.36
20,ferramentas,serra elétrica,768.26,730.32,pendente,Loja B,2024-06-14,94,USD,Los Angeles,CA,EUA,34.0522,-118.2437,transportadora própria,online,768.26,844.42,844.74
21,ferramentas,serra elétrica,725.02,627.96,cancelado,Loja A,2024-04-14,50,EUR,Paris,IL,França,48.8566,2.3522,expressa,empresarial,725.02,735.23,785.94
22,ferramentas,chave de fenda,682.61,610.76,cancelado,Loja B,2024-07-27,94,USD,Los Angeles,CA,EUA,34.0522,-118.2437,padrão,loja,682.61,710.41,733.9
23,roupa,casaco,688.31,618.48,enviado,Loja A,2024-01-08,41,EUR,Paris,IL,França,48.8566,2.3522,transportadora própria,empresarial,688.31,735.98,757.08
24,ferramentas,martelo,585.85,576.07,cancelado,Loja B,2024-04-15,97,BRL,Curitiba,PR,Brasil,-25.4284,-49.2733,padrão,empresarial,585.85,628.13,621.99
25,ferramentas,martelo,241.43,234.22,cancelado,Loja C,2024-07-16,94,USD,Los Angeles,CA,EUA,34.0522,-118.2437,transportadora própria,loja,241.43,245.06,255.02
26,ferramentas,serra elétrica,598.79,499.21,cancelado,Loja A,2024-11-14,5,USD,Los Angeles,CA,EUA,34.0522,-118.2437,padrão,loja,598.79,620.9,615.13
27,ferramentas,furadeira,587.26,576.29,cancelado,Loja C,2024-06-15,60,USD,Los Angeles,CA,EUA,34.0522,-118.2437,transportadora própria,online,587.26,602.69,621.25
28,cozinha,geladeira,657.14,560.78,enviado,Loja A,2024-10-15,75,USD,Los Angeles,CA,EUA,34.0522,-118.2437,transportadora própria,empresarial,657.14,718.75,710.9
29,cozinha,liquidificador,137.15,127.63,pendente,Loja A,2024-03-24,46,BRL,Rio de Janeiro,RJ,Brasil,-22.9068,-43.1729,transportadora própria,online,137.15,142.56,140.58
30,cozinha,batedeira,358.55,299.03,enviado,Loja A,2024-12-05,74,BRL,Curitiba,PR,Brasil,-25.4284,-49.2733,padrão,online,358.55,382.94,392.09
31,cozinha,fogão,279.77,254.94,enviado,Loja A,2024-12-22,7,EUR,Paris,IL,França,48.8566,2.3522,padrão,loja,279.77,307.33,302.13
32,cozinha,fogão,1057.64,935.21,enviado,Loja B,2024-01-15,51,BRL,Curitiba,PR,Brasil,-25.4284,-49.2733,expressa,loja,1057.64,1088.36,1113.41
33,ferramentas,furadeira,867.22,733.39,enviado,Loja C,2024-09-15,26,BRL,São Paulo,SP,Brasil,-23.5505,-46.6333,padrão,empresarial,867.22,946.59,913.7
34,ferramentas,chave de fenda,216.89,182.06,enviado,Loja C,2024-12-15,35,EUR,Paris,IL,França,48.8566,2.3522,padrão,empresarial,216.89,231.69,227.16
35,casa,mesa,314.21,279.4,cancelado,Loja C,2024-01-28,19,EUR,Berlim,BE,Alemanha,52.52,13.405,transportadora própria,empresarial,314.21,345.14,337.19
36,cozinha,liquidificador,144.8,141.18,cancelado,Loja B,2024-08-05,31,USD,Los Angeles,CA,EUA,34.0522,-118.2437,padrão,empresarial,144.8,150.8,159.01
37,casa,cadeira,891.04,820.79,pendente,Loja B,2024-12-19,35,EUR,Paris,IL,França,48.8566,2.3522,padrão,online,891.04,943.02,969.1
38,roupa,camiseta,330.21,304.52,pendente,Loja A,2024-05-07,21,EUR,Berlim,BE,Alemanha,52.52,13.405,transportadora própria,loja,330.21,343.25,343.38
39,eletronico,smartphone,637.58,593.93,pendente,Loja C,2024-06-21,77,BRL,Curitiba,PR,Brasil,-25.4284,-49.2733,expressa,loja,637.58,673.44,674.48
40,casa,cama,545.75,470.87,enviado,Loja B,2024-11-25,34,BRL,São Paulo,SP,Brasil,-23.5505,-46.6333,expressa,loja,545.75,599.01,588.73
41,roupa,meias,682.74,604.45,enviado,Loja C,2024-05-16,34,USD,Los Angeles,CA,EUA,34.0522,-118.2437,padrão,online,682.74,720.72,723.64
42,eletronico,tablet,361.45,307.01,enviado,Loja B,2024-07-06,87,EUR,Paris,IL,França,48.8566,2.3522,expressa,online,361.45,370.0,366.85
43,cozinha,liquidificador,331.65,280.23,enviado,Loja A,2024-03-28,95,USD,Nova York,NY,EUA,40.7128,-74.006,expressa,online,331.65,355.39,340.33
44,cozinha,liquidificador,168.0,161.31,enviado,Loja C,2024-07-23,80,EUR,Berlim,BE,Alemanha,52.52,13.405,transportadora própria,online,168.0,171.4,172.54
45,casa,cadeira,788.23,765.71,cancelado,Loja A,2024-12-07,12,EUR,Berlim,BE,Alemanha,52.52,13.405,transportadora própria,empresarial,788.23,811.54,804.06
46,eletronico,notebook,132.36,117.38,pendente,Loja A,2024-10-12,42,BRL,Curitiba,PR,Brasil,-25.4284,-49.2733,transportadora própria,empresarial,132.36,140.28,137.93
47,casa,cama,507.88,495.78,pendente,Loja C,2024-05-03,48,EUR,Berlim,BE,Alemanha,52.52,13.405,expressa,empresarial,507.88,528.12,530.29
48,cozinha,batedeira,77.97,66.85,pendente,Loja B,2024-11-16,13,BRL,Curitiba,PR,Brasil,-25.4284,-49.2733,padrão,loja,77.97,81.53,83.04
49,roupa,casaco,69.36,59.85,pendente,Loja C,2024-11-27,79,BRL,Curitiba,PR,Brasil,-25.4284,-49.2733,transportadora própria,empresarial,69.36,70.24,70.11
50,ferramentas,furadeira,113.87,109.8,cancelado,Loja B,2024-04-26,30,EUR,Berlim,BE,Alemanha,52.52,13.405,transportadora própria,empresarial,113.87,123.24,117.58
